epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2735,0.91437,1.83408,1.33763,0.25772,0.32935,0.24274,0.11495,1.61045,6.33232,2.33868,0.000465748,0.000465748,0.000465748
2,36.904,1.1099,1.20723,1.39132,0.25389,0.33715,0.138,0.05389,2.30817,7.07412,3.97709,0.000932755,0.000932755,0.000932755
3,55.4496,1.21677,1.29763,1.43209,0.70545,0.04902,0.02545,0.00674,3.47294,6.60452,5.96034,0.00139033,0.00139033,0.00139033
4,73.6018,1.19291,1.13355,1.4279,0.42712,0.35294,0.15635,0.10539,1.59424,13.1807,2.20638,0.00138656,0.00138656,0.00138656
5,91.8988,1.2073,1.13173,1.45114,0.39204,0.41422,0.38368,0.18494,1.77225,8.31936,2.56076,0.00137241,0.00137241,0.00137241
6,109.967,1.1553,1.07412,1.42863,0.67169,0.63457,0.62047,0.36917,1.66995,2.43826,2.1602,0.00135826,0.00135826,0.00135826
7,128.075,1.06126,0.9724,1.34014,0.75043,0.47123,0.54575,0.28231,1.85303,3.37879,2.26451,0.00134412,0.00134412,0.00134412
8,146.041,1.04613,0.96072,1.33204,0.74167,0.70952,0.80015,0.51114,1.16216,2.38675,1.4362,0.00132997,0.00132997,0.00132997
9,163.869,1.01855,0.88438,1.28688,0.89525,0.84475,0.90959,0.67088,1.03385,1.00641,1.39498,0.00131582,0.00131582,0.00131582
10,181.944,1.02484,0.87127,1.31596,0.7458,0.79873,0.79292,0.56668,1.12634,1.33926,1.3977,0.00130168,0.00130168,0.00130168
11,199.825,0.97991,0.88341,1.28828,0.76935,0.69674,0.76563,0.53147,1.12766,1.24512,1.54962,0.00128753,0.00128753,0.00128753
12,217.615,0.94029,0.83697,1.25371,0.85362,0.70926,0.80565,0.58945,0.98012,1.28404,1.38139,0.00127338,0.00127338,0.00127338
